particles,mean_x1,mean_x2,mean_x3,final_projection_residual,median_nearest_stable_distance,fraction_within_0.15,nearest_symmetric,nearest_110,nearest_101,nearest_011
512,0.33661842346191406,0.3486700654029846,0.34779176115989685,0.6362627744674683,0.1008868485846094,0.689453125,135,120,117,140
1024,0.34686198830604553,0.34584689140319824,0.3445274233818054,0.6585464477539062,0.09765795063599239,0.701171875,264,250,250,260
5000,0.34836193919181824,0.34018680453300476,0.3439219295978546,0.6211868524551392,0.09714619597992302,0.7032,1245,1247,1296,1212
